shopping_mall,yyear,mmonth,"fashion and beauty sales","monthly avgsales by year",monthly_totalsales
"Cevahir AVM",2021,1,110050.98,102587.81,132985
"Cevahir AVM",2021,2,73258.89,102587.81,92547
"Cevahir AVM",2021,3,98144.49,102587.81,144280
"Cevahir AVM",2021,4,107787.93,102587.81,119053
"Cevahir AVM",2021,5,104084.24,102587.81,132287
"Cevahir AVM",2021,6,88073.3,102587.81,115264
"Cevahir AVM",2021,7,119684.64,102587.81,145143
"Cevahir AVM",2021,8,93079.85,102587.81,119972
"Cevahir AVM",2021,9,111832.06,102587.81,135417
"Cevahir AVM",2021,10,101276.98,102587.81,148657
"Cevahir AVM",2021,11,102651.45,102587.81,148243
"Cevahir AVM",2021,12,121128.88,102587.81,142620
"Cevahir AVM",2022,1,86247.59,90338.33,133421
"Cevahir AVM",2022,2,77469.79,90338.33,133101
"Cevahir AVM",2022,3,82636.94,90338.33,116046
"Cevahir AVM",2022,4,97056.51,90338.33,114895
"Cevahir AVM",2022,5,96425.41,90338.33,154061
"Cevahir AVM",2022,6,83121.04,90338.33,142374
"Cevahir AVM",2022,7,90820.49,90338.33,129512
"Cevahir AVM",2022,8,102117.15,90338.33,137110
"Cevahir AVM",2022,9,100951.8,90338.33,158998
"Cevahir AVM",2022,10,101658.51,90338.33,125121
"Cevahir AVM",2022,11,80308.04,90338.33,123577
"Cevahir AVM",2022,12,85246.64,90338.33,106782
"Cevahir AVM",2023,1,91802.22,70582.02,109020
"Cevahir AVM",2023,2,80516.9,70582.02,127884
"Cevahir AVM",2023,3,39426.93,70582.02,45304
"Emaar Square Mall",2021,1,97122.29,97838.64,118029
"Emaar Square Mall",2021,2,69780.06,97838.64,107323
"Emaar Square Mall",2021,3,93887.29,97838.64,136568
"Emaar Square Mall",2021,4,98459.98,97838.64,129175
"Emaar Square Mall",2021,5,116906.41,97838.64,144482
"Emaar Square Mall",2021,6,88354,97838.64,122799
"Emaar Square Mall",2021,7,120569.49,97838.64,177622
"Emaar Square Mall",2021,8,79843.54,97838.64,115787
"Emaar Square Mall",2021,9,98791.07,97838.64,144152
"Emaar Square Mall",2021,10,108165.27,97838.64,169559
"Emaar Square Mall",2021,11,96659.67,97838.64,114491
"Emaar Square Mall",2021,12,105524.65,97838.64,147964
"Emaar Square Mall",2022,1,93114.76,91455.87,138670
"Emaar Square Mall",2022,2,62516.05,91455.87,73417
"Emaar Square Mall",2022,3,112070.15,91455.87,162930
"Emaar Square Mall",2022,4,101913.88,91455.87,138987
"Emaar Square Mall",2022,5,95190.06,91455.87,122947
"Emaar Square Mall",2022,6,83287.47,91455.87,106460
"Emaar Square Mall",2022,7,97772.95,91455.87,127969
"Emaar Square Mall",2022,8,89014.35,91455.87,129246
"Emaar Square Mall",2022,9,81421.3,91455.87,122924
"Emaar Square Mall",2022,10,99325.25,91455.87,134959
"Emaar Square Mall",2022,11,80795.69,91455.87,93031
"Emaar Square Mall",2022,12,101048.54,91455.87,135154
"Emaar Square Mall",2023,1,99689.83,68031.74,139591
"Emaar Square Mall",2023,2,80216.72,68031.74,106248
"Emaar Square Mall",2023,3,24188.68,68031.74,29922
"Forum Istanbul",2021,1,91649.06,95780.3,135699
